Quote;Author;Gender;Book;Category
Most of life is so dull that there is nothing to be said about it, and the books and talk that would describe it as interesting are obliged to exaggerate, in the hope of justifying their own existence.;E. M. Forster;M; A Passage to India;literature
That is the one unforgivable sin in any society. Be different and be damned!;Margaret Mitchell;F; Gone with the Wind;literature
Six months ago I had never been to England, and, certainly, I had never sounded the depths of an English heart. I had known the shallows.;Ford Madox Ford;M; The Good Soldier;literature
The whole mad swirl of everything that was to come began then.;Jack Kerouac;M; On the Road;literature
In his Petersburg world, all people were divided into two completely opposite sorts. One was the inferior sort: the banal, stupid and, above all, ridiculous people who believed that one husband should live with one wife, whom he has married in a church, that a girl should be innocent, a woman modest, a man manly, temperate and firm, that one should raise children, earn one’s bread, pay one’s debts, and other such stupidities. This was an old-fashioned and ridiculous sort of people. But there was another sort of people, the real ones, to which they all belonged, and for whom one had, above all, to be elegant, handsome, magnanimous, bold, gay, to give oneself to every passion without blushing and laugh at everything else.;Leo Tolstoy;M; Anna Karenina;literature
I prefer unlucky things. Luck is vulgar. Who wants what luck would bring? I don’t.;D. H. Lawrence;M; Women in Love;literature
Human speech is like a cracked kettle on which we tap crude rhythms for bears to dance to, while we long to make music that will melt the stars.;Gustave Flaubert;M; Madame Bovary;literature
They looked at each other, baffled, in love and hate.;William Golding;M; Lord of the Flies;literature
I never liked to hunt, you know. There was always the danger of having a horse fall on you.;Ernest Hemingway;M; The Sun Also Rises;literature
“Begin at the beginning,” the King said gravely, “and go on till you come to the end: then stop.”;Lewis Carroll;M; Alice’s Adventures in Wonderland;literature
I do suspect that he is not really necessary to my happiness.;Jane Austen;F; Emma;literature
You can’t breathe dead hippo waking, sleeping, and eating, and at the same time keep your precarious grip on existence.;Joseph Conrad;M; Heart of Darkness;literature
Time, which sees all things, has found you out.;Sophocles;M; Oedipus the King;literature
They were women who idolized their children, worshiped their husbands, and esteemed it a holy privilege to efface themselves as individuals and grow wings as ministering angels.;Kate Chopin;F; The Awakening;literature
I don’t exactly know what I mean by that, but I mean it.;J. D. Salinger;M; The Catcher in the Rye;literature
It was curious to think that the sky was the same for everybody, in Eurasia or Eastasia as well as here. And the people under the sky were also very much the same—everywhere, all over the world, hundreds or thousands of millions of people just like this, people ignorant of one another’s existence, held apart by walls of hatred and lies, and yet almost exactly the same—people who had never learned to think but who were storing up in their hearts and bellies and muscles the power that would one day overturn the world.;George Orwell;M; 1984;literature
Ever’body’s askin’ that. “What we comin’ to?” Seems to me we don’t never come to nothin’. Always on the way.;John Steinbeck;M; The Grapes of Wrath;literature
The Mole was a good listener, and Toad, with no one to check his statements or to criticize in an unfriendly spirit, rather let himself go. Indeed, much that he related belonged more properly to the category of what-might-have-happened-had-I-only-thought-of-it-in-time-instead-of-ten-minutes-afterwards.;Kenneth Grahame;M; The Wind in the Willows;literature
It’s a dangerous business, Frodo, going out of your door.;J. R. R. Tolkien;M; The Lord of the Rings;literature
Like so many Americans, she was trying to construct a life that made sense from things she found in gift shops.;Kurt Vonnegut;M; Slaughterhouse-Five;literature
"Beware; for I am fearless, and therefore powerful.";Mary Shelley;F; Frankenstein;literature
"And they beat. The women for having known them and no more, no more; the children for having been them but never again. They killed a boss so often and so completely they had to bring him back to life to pulp him one more time. Tasting hot mealcake among pine trees, they beat it away. Singing love songs to Mr. Death, they smashed his head. More than the rest, they killed the flirt whom folks called Life for leading them on.";Toni Morrison;M; Beloved;literature
I saw within Its depth how It conceives;Dante Alighieri;M; The Divine Comedy;literature
All things in a single volume bound by Love;Virginia Woolf;F; To the Lighthouse;literature
of which the universe is the scattered leaves.;Albert Camus;M; The Stranger;literature
And again she felt alone in the presence of her old antagonist, life.;James Joyce;M; A Portrait of the Artist as a Young Man;literature
It was like knocking four quick times on the door of unhappiness.;Jane Austen;F; Pride and Prejudice;literature
A certain pride, a certain awe, withheld him from offering to God even one prayer at night, though he knew it was in God’s power to take away his life while he slept and hurl his soul hellward ere he could beg for mercy.;Charlotte Brontë;F; Jane Eyre;literature
Laugh as much as you choose, but you will not laugh me out of my opinion.;Franz Kafka;M; The Trial;literature
I ask you to pass through life at my side—to be my second self, and best earthly companion.;Virginia Woolf;F; Mrs. Dalloway;literature
It is an essential part of the justice dispensed here that you should be condemned not only in innocence but also in ignorance.;Geoffrey Chaucer;M; The Canterbury Tales;literature
The world wavered and quivered and threatened to burst into flames.;Jack London;M; The Call of the Wild;literature
Who then may trust the dice, at Fortune’s throw?;Mark Twain;M; The Adventures of Huckleberry Finn;literature
When, on the still cold nights, he pointed his nose at a star and howled long and wolf-like, it was his ancestors, dead and dust, pointing nose at star and howling down through the centuries and through him. And his cadences were their cadences, the cadences which voiced their woe and what to them was the meaning of the stillness, and the cold, and dark.;Zora Neale Hurston;F; Their Eyes Were Watching God;literature
I was a-trembling, because I’d got to decide, forever, betwixt two things, and I knowed it.;F. Scott Fitzgerald;M; The Great Gatsby;literature
There are years that ask questions and years that answer.;Pierre Choderlos de Laclos;M; Dangerous Liaisons;literature
And so with the sunshine and the great bursts of leaves growing on the trees, just as things grow in fast movies, I had that familiar conviction that life was beginning over again with the summer.;Charles Dickens;M; Great Expectations;literature
I assure you that the world is not so amusing as we imagined.;William Shakespeare;M; Hamlet;literature
Ask no questions and you’ll be told no lies.;Aldous Huxley;M; Brave New World;literature
I will wear him;Nathaniel Hawthorne;M; The Scarlet Letter;literature
In my heart’s core, ay, in my heart of heart.;George Eliot;M; Middlemarch;literature
Lying in bed, he would think of Heaven and London.;Emily Brontë;F; Wuthering Heights;literature
It is a curious subject of observation and inquiry, whether hatred and love be not the same thing at the bottom.;William Faulkner;M; The Sound and the Fury;literature
For years after Lydgate remembered the impression produced in him by this involuntary appeal—this cry from soul to soul, without other consciousness than their moving with kindred natures in the same embroiled medium, the same troublous fitfully-illuminated life.;Edith Wharton;F; The Age of Innocence;literature
Whatever souls are made of, his and mine are the same.;Virgil;M; The Aeneid;literature
The air brightened, the running shadow patches were now the obverse, and it seemed to him that the fact that the day was clearing was another cunning stroke on the part of the foe, the fresh battle toward which he was carrying ancient wounds.;William Makepeace Thackeray;M; Vanity Fair;literature
"“Do you know—I hardly remembered you?”
“Hardly remembered me?”
“I mean: how shall I explain? I—it’s always so. Each time you happen to me all over again.”";Doris Lessing;F; The Golden Notebook;literature
In his deepest heart there surge tremendous shame and madness mixed with sorrow and love whipped on by frenzy and a courage aware of its own worth.;Ralph Ellison;M; Invisible Man;literature
So, with their usual sense of justice, ladies argue that because a woman is handsome, therefore she is a fool. O ladies, ladies! there are some of you who are neither handsome nor wise.;Harper Lee;M; To Kill A Mockingbird;literature
I was filled with such a dangerous delicious intoxication that I could have walked straight off the steps into the air, climbing on the strength of my own drunkenness into the stars. And the intoxication, as I knew even then, was the recklessness of infinite possibility, of danger, the secret ugly frightening pulse of war itself, of the death that we all wanted, for each other and for ourselves.;Gabriel García Márquez;M; One Hundred Years of Solitude;literature
As I made my way home, I thought Jem and I would get grown but there wasn’t much else for us to learn, except possibly algebra.;Virgil;M; The Aeneid;literature
Both of them remained floating in an empty universe where the only everyday and eternal reality was love.;Jane Austen;F; Pride and Prejudice;literature
For now the seventh summer carries you,;Kurt Vonnegut;M; Slaughterhouse-Five;literature
A wanderer, across the lands and waters.;D. H. Lawrence;M; Women in Love;literature
You are never to stir out of doors till you can prove that you have spent ten minutes of every day in a rational manner.;Edith Wharton;F; The Age of Innocence;literature
I have this disease late at night sometimes, involving alcohol and the telephone.;Doris Lessing;F; The Golden Notebook;literature
Do come back and draw the ferrets, they are the most lovely noble darlings in the world.;Jack Kerouac;M; On the Road;literature
Once more it was borne in on him that marriage was not the safe anchorage he had been taught to think, but an uncharted voyage on the seas.;Margaret Mitchell;F; Gone with the Wind;literature
Time is the River on which the leaves of our thoughts are carried into oblivion.;Gabriel García Márquez;M; One Hundred Years of Solitude;literature
I told Terry I was leaving. She had been thinking about it all night and was resigned to it. Emotionlessly she kissed me in the vineyard and walked off down the row. We turned at a dozen paces, for love is a duel, and looked at each other for the last time.;Mark Twain;M; The Adventures of Huckleberry Finn;literature
Babies, babies, babies. Why did God make so many babies? But no, God didn’t make them. Stupid people made them.;George Eliot;M; Middlemarch;literature
Her heart of compressed ash, which had resisted the most telling blows of daily reality without strain, fell apart with the first waves of nostalgia.;Geoffrey Chaucer;M; The Canterbury Tales;literature
Jim said that bees won’t sting idiots, but I didn’t believe that, because I tried them lots of times myself and they wouldn’t sting me.;Dante Alighieri;M; The Divine Comedy;literature
